B,B,B,B,B,B,0.000,0.067,0.091,0.011,0.000,0.022,0.433,0.740,1.547,3.712,1.082,0.701,2.584,4.451,0.903,0.376,0.004,0.000,0.000
B,B,B,B,B,B,0.000,0.007,0.056,3.122,0.011,0.022,0.105,0.252,0.022,0.323,0.046,0.007,0.046,0.091,0.067,0.000,0.000,0.000,0.000
0.000,0.000,8.039,5.466,B,B,0.000,0.000,0.000,0.252,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,8.363,10.780,B,B,0.022,0.000,0.000,0.136,0.007,0.016,0.000,0.046,0.000,0.022,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,4.282,8.363,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
0.000,0.000,0.774,2.775,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
0.000,0.000,0.000,0.000,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,0.000,0.000,0.000,0.000
0.000,0.000,0.000,1.092,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,0.000,0.000,0.000,0.011
0.000,0.000,1.245,10.985,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,0.017,0.000,0.000,0.000
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,0.000,0.000,0.000,0.000
B,B,B,B,B,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,B,B,B,B,B,B,B,0.000,0.000,0.000,0.000
B,B,B,B,B,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,B,B,B,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
B,B,B,B,B,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,B,B,B,0.000,0.000,0.000,0.000,0.011,0.000,0.000,0.000
B,B,B,B,B,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,B,B,B,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
B,B,B,B,B,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,B,B,B,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000

Frame 3, 0.04,, 2019-05-15 9:48:51.14오후,,,Raw Sum=,,1753
B,B,B,B,B,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000,B,0.000,0.000,2.467,1.090,B,0.000,1.358,1.997,2.291
B,B,B,B,B,B,3.906,15.507,0.000,0.000,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.130,0.000,B,0.000,2.145,1.687,1.997
B,B,B,B,B,B,7.312,5.155,0.000,0.000,B,0.000,0.000,0.000,0.213,B,0.000,0.000,0.113,0.000,B,0.000,1.844,1.844,1.183
B,B,B,B,B,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.581,B,0.000,0.000,0.000,0.000,B,0.000,1.183,2.574,1.183
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000,B,1.000,0.000,0.000,0.000
B,B,B,B,B,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000,B,1.997,0.000,0.000,0.000
B,B,B,B,B,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000,B,0.002,0.000,0.000,0.000,B,3.620,0.000,0.000,0.000
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000
B,B,B,B,B,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000
B,B,B,B,B,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,0.000,0.120,0.091,0.016,0.004,0.037,0.463,0.740,1.547,3.801,1.036,0.779,2.657,4.260,1.036,0.252,0.000,0.000,0.000
B,B,B,B,B,B,0.000,0.011,0.056,3.122,0.011,0.022,0.105,0.252,0.016,0.299,0.046,0.011,0.067,0.105,0.079,0.000,0.000,0.000,0.000
0.000,0.000,7.274,5.698,B,B,0.000,0.000,0.004,0.230,0.000,0.000,0.004,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,7.822,10.470,B,B,0.011,0.000,0.000,0.171,0.007,0.011,0.000,0.029,0.000,0.016,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,4.403,9.004,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
0.000,0.606,1.092,2.511,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
0.000,0.000,0.000,0.000,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,0.000,0.000,0.000,0.000
0.000,0.000,0.606,1.541,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,0.000,0.000,0.000,0.006
0.000,0.000,1.092,11.495,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,0.017,0.000,0.000,0.000
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,0.000,0.000,0.000,0.000
B,B,B,B,B,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,B,B,B,B,B,B,B,0.000,0.000,0.000,0.000
B,B,B,B,B,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,B,B,B,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
B,B,B,B,B,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,B,B,B,0.000,0.000,0.000,0.006,0.025,0.000,0.000,0.000
B,B,B,B,B,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,B,B,B,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
B,B,B,B,B,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,B,B,B,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000

Frame 4, 0.06,, 2019-05-15 9:48:51.16오후,,,Raw Sum=,,1683
B,B,B,B,B,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000,B,0.000,0.000,2.374,0.976,B,0.000,1.183,1.997,1.997
B,B,B,B,B,B,3.906,15.859,0.000,0.000,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.167,0.000,B,0.000,2.145,1.525,2.291
B,B,B,B,B,B,5.155,6.276,0.000,0.000,B,0.000,0.000,0.000,0.213,B,0.000,0.000,0.084,0.000,B,0.000,1.687,1.687,1.358
B,B,B,B,B,B,0.000,2.431,0.000,0.000,B,0.000,0.000,0.000,0.461,B,0.000,0.000,0.009,0.000,B,0.000,1.183,2.574,1.183
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000,B,0.805,0.000,0.000,0.000
B,B,B,B,B,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000,B,1.844,0.000,0.000,0.000
B,B,B,B,B,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000,B,0.002,0.000,0.000,0.000,B,3.368,0.000,0.000,0.000
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000
B,B,B,B,B,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000
B,B,B,B,B,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,0.000,0.091,0.079,0.011,0.000,0.029,0.433,0.779,1.437,3.801,1.036,0.701,2.657,4.260,0.740,0.252,0.000,0.000,0.000
B,B,B,B,B,B,0.000,0.004,0.037,3.122,0.011,0.016,0.091,0.230,0.022,0.275,0.037,0.016,0.067,0.079,0.056,0.000,0.000,0.000,0.000
0.000,0.000,7.053,5.350,B,B,0.000,0.000,0.000,0.209,0.000,0.000,0.000,0.000,0.004,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,7.053,10.055,B,B,0.022,0.000,0.000,0.120,0.007,0.016,0.000,0.016,0.000,0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,4.038,8.578,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
0.000,0.000,0.935,2.644,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
0.000,0.000,0.000,0.000,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,0.000,0.000,0.000,0.000
0.000,0.000,0.606,1.245,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,0.000,0.000,0.000,0.011
0.000,0.000,1.245,11.393,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,0.017,0.000,0.000,0.000
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,0.000,0.000,0.000,0.000
B,B,B,B,B,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,B,B,B,B,B,B,B,0.000,0.000,0.000,0.000
B,B,B,B,B,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,B,B,B,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
B,B,B,B,B,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,B,B,B,0.000,0.000,0.000,0.006,0.017,0.000,0.000,0.000
B,B,B,B,B,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,B,B,B,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
B,B,B,B,B,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,B,B,B,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000

Frame 5, 0.08,, 2019-05-15 9:48:51.18오후,,,Raw Sum=,,1716
B,B,B,B,B,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.031,B,0.000,0.000,2.282,1.032,B,0.000,1.358,1.997,1.997
B,B,B,B,B,B,0.000,15.859,0.000,0.000,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.130,0.000,B,0.000,2.145,1.687,1.844
B,B,B,B,B,B,6.276,5.155,0.000,0.000,B,0.000,0.000,0.000,0.138,B,0.000,0.000,0.113,0.000,B,0.000,1.844,1.687,1.358
B,B,B,B,B,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.581,B,0.000,0.000,0.000,0.000,B,0.000,1.183,2.291,1.183
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000,B,1.183,0.000,0.000,0.000
B,B,B,B,B,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000,B,1.997,0.000,0.000,0.000
B,B,B,B,B,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000,B,3.368,0.000,0.000,0.000
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000
B,B,B,B,B,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000
B,B,B,B,B,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000,B,0.000,0.000,0.000,0.000
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,0.000,0.120,0.091,0.011,0.000,0.016,0.433,0.779,1.437,3.981,1.082,0.740,2.732,4.646,0.860,0.299,0.000,0.000,0.000
B,B,B,B,B,B,0.000,0.016,0.022,3.203,0.011,0.022,0.105,0.252,0.022,0.299,0.022,0.016,0.079,0.091,0.067,0.000,0.000,0.000,0.000
0.000,0.000,7.053,5.582,B,B,0.000,0.000,0.000,0.230,0.000,0.000,0.004,0.000,0.000,0.000,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,7.494,10.263,B,B,0.016,0.000,0.000,0.136,0.004,0.016,0.000,0.046,0.000,0.016,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,4.282,9.216,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
0.000,0.000,1.092,2.511,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
0.000,0.000,0.000,0.000,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,0.000,0.000,0.000,0.000
0.000,0.000,0.606,1.685,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,0.000,0.000,0.000,0.006
0.000,0.000,1.092,11.597,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,0.017,0.000,0.000,0.000
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,0.000,0.000,0.000,0.000
B,B,B,B,B,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,B,B,B,B,B,B,B,0.000,0.000,0.000,0.000
B,B,B,B,B,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,B,B,B,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
B,B,B,B,B,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,B,B,B,0.000,0.000,0.000,0.000,0.017,0.000,0.000,0.000
B,B,B,B,B,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,B,B,B,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
